match_id,result_id,time_played_min
400021443,151600,101.0
400021441,151608,99.61
400021449,151614,100.33
400021458,151625,103.59
400021447,151613,103.39
400021456,151620,104.09
400021453,151619,102.24
400021463,151626,100.06
400021464,151631,100.35
400021470,151638,99.07
400021467,151632,102.76
400021474,151637,100.55
400021482,151649,99.11
400021478,151643,99.19
400021486,151650,102.2
400021476,151644,101.42
400021490,151656,105.88
400021488,151655,103.22
400021496,151662,99.8
400021498,151661,106.83
400021502,151668,100.44
400021507,151673,102.02
400021510,151674,106.74
400021504,151667,105.64
400021440,151610,101.34
400021446,151616,99.98
400021450,151615,105.44
400021442,151609,100.31
400021462,151627,105.54
400021454,151621,101.65
400021457,151622,101.47
400021460,151628,108.75
400021472,151640,100.33
400021469,151634,104.15
400021465,151633,99.63
400021475,151639,100.03
400021483,151651,103.16
400021477,151646,103.43
400021487,151652,106.53
400021480,151645,104.22
400021494,151664,104.39
400021492,151657,95.43
400021491,151658,104.24
400021499,151663,102.49
400021503,151670,101.25
400021506,151676,102.42
400021511,151675,98.12
400021501,151669,101.17
400021448,151618,101.49
400021451,151617,100.44
400021452,151623,103.19
400021455,151624,102.91
400021445,151612,100.1
400021444,151611,100.11
400021468,151635,100.3
400021466,151636,101.08
400021473,151642,98.16
400021471,151641,102.06
400021461,151629,101.37
400021459,151630,104.9
400021493,151659,105.23
400021489,151660,100.25
400021484,151653,104.53
400021485,151654,101.22
400021481,151647,101.13
400021479,151648,104.63
400021508,151678,98.93
400021509,151677,100.46
400021500,151671,105.06
400021505,151672,99.08
400021497,151666,100.75
400021495,151665,100.13
400021518,151679,99.65
400021516,151681,104.65
400021513,151682,137.37
400021522,151680,135.04
400021514,151684,101.71
400021523,151685,97.98
400021520,151683,104.08
400021512,151688,102.97
400021525,151686,144.56
400021524,151687,110.1
400021519,151690,100.35
400021526,151691,113.06
400021527,151689,100.09
400021515,151692,131.23
400021521,151694,138.61
400021517,151693,104.69
400021530,151695,105.33
400021533,151696,103.37
400021532,151698,107.72
400021531,151697,107.41
400021529,151700,104.75
400021534,151699,100.73
400021528,151702,107.2
400021535,151701,130.64
400021536,151703,101.13
400021538,151704,102.11
400021539,151706,138.04
400021537,151705,139.1
400021541,151707,103.18
400021540,151708,104.96
400021542,151709,102.85
400021543,151710,140.24
